min;avg;max;std
119.271;198.420;733.548;202.269
120.206;275.316;1224.134;360.085
118.374;264.861;983.885;286.071
119.282;123.535;142.268;7.310
118.703;124.333;134.450;5.633
118.894;126.515;149.779;9.621
120.557;144.451;205.204;32.679
119.538;391.052;993.877;352.613
120.677;482.428;1677.816;524.774
120.770;436.071;993.819;341.338
119.402;122.781;129.477;3.292
119.941;417.780;1081.191;389.221
119.646;133.393;166.708;16.120
118.966;502.728;1925.170;604.660
120.050;369.358;774.853;261.061
119.445;245.428;1003.367;288.136
119.741;294.396;868.815;300.577
120.536;183.611;607.780;160.337
120.615;314.941;654.536;207.981
120.341;722.929;2185.194;690.134
121.884;306.379;779.135;271.449
121.396;178.160;447.539;103.817
120.166;358.263;1844.123;561.969
121.082;147.679;314.293;63.054
120.931;267.145;819.503;249.571
120.460;252.133;838.368;245.414
120.942;135.530;194.241;24.217
120.771;208.908;771.994;212.963
121.981;715.901;1983.350;582.831
121.755;415.668;884.819;305.132
124.857;532.785;1469.211;412.465
126.182;419.761;755.776;259.293
124.065;274.491;1002.210;293.606
123.193;188.436;392.314;101.988
122.629;528.047;1576.990;483.423
122.704;212.613;782.444;215.637
125.472;365.626;882.197;314.125
122.320;127.225;140.381;5.368
122.963;139.058;211.354;27.781
121.957;715.357;2615.046;857.996
122.589;228.348;627.989;161.210
122.194;252.989;1059.489;305.487
122.332;124.195;125.766;1.273
122.834;131.919;158.130;11.556
124.161;275.232;1111.135;323.251
124.226;200.392;556.597;139.175
123.997;137.651;155.357;12.260
126.581;164.148;242.960;38.283
130.117;455.655;866.087;295.969
